ID_PER,CVE_ENT,NOM_ENT,SENTENCE,years of prison sentence,months of prison sentence,CAR THEFT,BURGLARY,SHOPLIFTING,P5_11_04,PEDESTRIAN,P5_11_06,P5_11_07,P5_11_08,P5_11_09,P5_11_10,P5_11_11,INTENTIONAL HOMICIDE,WEAPONS,P5_11_14,P5_11_15,P5_11_16,KIDNAPPING,P5_11_18,P5_11_19,ORGANISED CRIME,P5_11_21,EXTORTION,P5_11_23,P5_11_24,P5_11_25
2908.8696,15,Estado de México,6.666666667,6,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2909.0299,24,San Luis Potosí,6.666666667,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2912.1069,15,Estado de México,6.666666667,6,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2912.7694,26,Sonora,6.666666667,6,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2913.9256,9,Ciudad de México,6.666666667,6,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2915.6058,11,Guanajuato,6.666666667,6,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2921.0647,26,Sonora,6.666666667,6,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2925.0525,26,Sonora,6.666666667,6,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2927.6576,2,Baja California,6.666666667,6,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2931.414,19,Nuevo León,6.666666667,6,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2933.7239,15,Estado de México,6.666666667,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2934.0535,25,Sinaloa,6.666666667,6,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2935.6259,19,Nuevo León,6.666666667,6,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2947.363,27,Tabasco,6.666666667,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2947.3952,26,Sonora,6.666666667,6,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
